epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.78,1.60952,2.66422,1.80772,0.54061,0.49494,0.51649,0.22901,1.9593,2.11129,2.11973,0.0700286,0.00333015,0.00333015
2,651.947,1.58059,2.59622,1.77068,0.69008,0.42699,0.50927,0.23287,1.87965,2.1508,2.00328,0.0399687,0.00660351,0.00660351
3,973.631,1.55723,2.57317,1.75148,0.51278,0.52033,0.52089,0.26381,1.77871,2.04827,1.91065,0.00984868,0.00981688,0.00981688
4,1278.71,1.56502,2.60944,1.76202,0.62764,0.4621,0.5,0.25296,1.82887,2.07346,1.95017,0.00973,0.00973,0.00973
5,1584.7,1.56271,2.53868,1.73559,0.59225,0.46237,0.52034,0.24995,1.84129,2.06533,1.94176,0.00964,0.00964,0.00964
6,1897.08,1.55933,2.52967,1.74795,0.55541,0.45999,0.50826,0.24475,1.8923,2.09387,2.00432,0.00955,0.00955,0.00955
7,2210.86,1.54766,2.49686,1.72813,0.46307,0.45396,0.49855,0.27408,1.7128,1.98482,1.86134,0.00946,0.00946,0.00946
8,2592.33,1.52798,2.46249,1.71852,0.59075,0.50854,0.5424,0.28129,1.77939,1.89726,1.90176,0.00937,0.00937,0.00937
9,3028.7,1.51279,2.41608,1.70715,0.53983,0.50839,0.54788,0.25952,1.91314,1.90689,1.98991,0.00928,0.00928,0.00928
10,3328.15,1.51899,2.44617,1.71662,0.53206,0.52344,0.53478,0.26614,1.77074,1.92096,1.92121,0.00919,0.00919,0.00919
11,3636.71,1.50506,2.3991,1.70498,0.69422,0.45976,0.55198,0.30178,1.71221,1.83399,1.83855,0.0091,0.0091,0.0091
12,3955.77,1.51497,2.44142,1.71013,0.51069,0.52428,0.52757,0.25918,1.78432,1.97726,1.90812,0.00901,0.00901,0.00901
13,4284.75,1.50045,2.4083,1.69444,0.46684,0.58209,0.53746,0.26549,1.8124,1.94532,1.92189,0.00892,0.00892,0.00892
14,4606.23,1.51438,2.39304,1.70791,0.52119,0.5407,0.54729,0.28398,1.74277,1.80952,1.84153,0.00883,0.00883,0.00883
15,4918.88,1.5119,2.36796,1.69778,0.46118,0.56416,0.51396,0.26351,1.75724,1.90057,1.87846,0.00874,0.00874,0.00874
16,5230.03,1.48814,2.36208,1.68243,0.53269,0.51655,0.55559,0.28591,1.74479,1.85115,1.86737,0.00865,0.00865,0.00865
17,5540.15,1.48347,2.31246,1.67764,0.50689,0.53138,0.5375,0.28636,1.73817,1.80367,1.84663,0.00856,0.00856,0.00856
18,5908.37,1.48192,2.31561,1.68846,0.69323,0.48302,0.54849,0.27509,1.84698,1.80137,1.93538,0.00847,0.00847,0.00847
19,6324.01,1.49342,2.29149,1.68367,0.5946,0.52164,0.57799,0.31561,1.69229,1.76131,1.80691,0.00838,0.00838,0.00838
20,6984.61,1.47535,2.26603,1.66918,0.54304,0.53793,0.54113,0.28114,1.72065,1.83599,1.84122,0.00829,0.00829,0.00829
21,13019.5,1.46377,2.26318,1.67382,0.59651,0.50613,0.54804,0.29292,1.7305,1.82059,1.85025,0.0082,0.0082,0.0082
