epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.823,0.0106,2.15088,1.10458,0.67233,0.61124,0.64838,0.38434,0.00955,1.46761,1.07047,0.0501976,0.000149857,0.000149857
2,868.364,0.01001,1.93647,1.07442,0.67589,0.6303,0.67375,0.41134,0.00952,1.30788,1.05393,0.000340445,0.000292735,0.000292735
3,1187.27,0.0098,1.8566,1.05161,0.72644,0.60221,0.68898,0.42569,0.0094,1.27697,1.04461,0.00028575,0.00028575,0.00028575
4,1512.14,0.00974,1.85883,1.04539,0.7278,0.59917,0.69814,0.43519,0.00922,1.25415,1.03315,0.000278625,0.000278625,0.000278625
5,1912.41,0.00976,1.82937,1.04017,0.74742,0.62266,0.6971,0.43425,0.00924,1.27753,1.03164,0.0002715,0.0002715,0.0002715
6,2292.73,0.00974,1.81527,1.03719,0.74465,0.58344,0.69889,0.43484,0.00918,1.26092,1.02643,0.000264375,0.000264375,0.000264375
7,2616.12,0.00972,1.81312,1.03847,0.7307,0.6468,0.71081,0.44609,0.00926,1.24132,1.0387,0.00025725,0.00025725,0.00025725
8,3036.93,0.00966,1.81193,1.03181,0.73911,0.643,0.71882,0.45148,0.00918,1.23343,1.02898,0.000250125,0.000250125,0.000250125
9,3351.32,0.00966,1.78218,1.03307,0.7039,0.67136,0.72093,0.45057,0.0093,1.22366,1.04192,0.000243,0.000243,0.000243
10,3660.38,0.00968,1.79904,1.03803,0.70695,0.68847,0.72705,0.45274,0.00931,1.23423,1.04142,0.000235875,0.000235875,0.000235875
11,3976.89,0.00956,1.77253,1.02611,0.68054,0.65393,0.71348,0.44365,0.00923,1.22858,1.03494,0.00022875,0.00022875,0.00022875
12,4284.16,0.00972,1.80232,1.0381,0.75809,0.59281,0.71312,0.43943,0.00929,1.22728,1.04188,0.000221625,0.000221625,0.000221625
13,4687.8,0.00962,1.77519,1.02522,0.71134,0.66632,0.71492,0.44667,0.00917,1.23064,1.0351,0.0002145,0.0002145,0.0002145
14,5007.01,0.00965,1.76938,1.03357,0.69202,0.6836,0.72115,0.44756,0.00924,1.21111,1.03405,0.000207375,0.000207375,0.000207375
15,5470.84,0.00965,1.78153,1.02898,0.68523,0.70743,0.7216,0.44683,0.00919,1.22163,1.03591,0.00020025,0.00020025,0.00020025
16,5942.47,0.00952,1.7746,1.01909,0.6822,0.71673,0.72362,0.45247,0.00919,1.21566,1.03376,0.000193125,0.000193125,0.000193125
17,6522.28,0.00941,1.72968,1.01689,0.68564,0.71117,0.72539,0.44961,0.00926,1.22693,1.03448,0.000186,0.000186,0.000186
18,6842,0.00951,1.74226,1.02207,0.69286,0.70284,0.71246,0.44217,0.00918,1.22315,1.0342,0.000178875,0.000178875,0.000178875
19,7250.79,0.00961,1.73033,1.02949,0.70921,0.68618,0.72553,0.448,0.00927,1.21864,1.03644,0.00017175,0.00017175,0.00017175
20,7689.47,0.00949,1.74637,1.0165,0.69024,0.69153,0.72069,0.44587,0.00919,1.21539,1.03076,0.000164625,0.000164625,0.000164625
21,8011.36,0.00952,1.75654,1.0215,0.67492,0.71881,0.72022,0.44595,0.00921,1.21172,1.03548,0.0001575,0.0001575,0.0001575
22,8389.03,0.00953,1.73629,1.01522,0.6674,0.70566,0.7229,0.45184,0.00925,1.22159,1.03536,0.000150375,0.000150375,0.000150375
23,8713.47,0.00955,1.73149,1.02351,0.71518,0.65903,0.7306,0.45491,0.00922,1.21903,1.02983,0.00014325,0.00014325,0.00014325
24,9038.74,0.00952,1.73339,1.01873,0.69807,0.70506,0.72415,0.4527,0.00924,1.20823,1.03807,0.000136125,0.000136125,0.000136125
25,9365.73,0.00955,1.76279,1.02293,0.68655,0.70244,0.72232,0.45095,0.00921,1.21251,1.03111,0.000129,0.000129,0.000129
26,9752.55,0.00954,1.74244,1.0205,0.68318,0.68955,0.71611,0.4444,0.00923,1.21323,1.03306,0.000121875,0.000121875,0.000121875
27,10081.9,0.00952,1.7278,1.02053,0.71594,0.68567,0.72318,0.45315,0.00924,1.20793,1.03891,0.00011475,0.00011475,0.00011475
28,10413,0.00946,1.72569,1.02089,0.71007,0.67834,0.72081,0.45056,0.00925,1.2067,1.03567,0.000107625,0.000107625,0.000107625
29,10747.8,0.00959,1.742,1.029,0.67165,0.69925,0.71885,0.4498,0.00914,1.21131,1.0254,0.0001005,0.0001005,0.0001005
30,11078.5,0.0095,1.7239,1.01821,0.6998,0.66241,0.72522,0.448,0.00921,1.21126,1.03097,9.3375e-05,9.3375e-05,9.3375e-05
31,11599.9,0.00847,1.22143,1.05313,0.69736,0.62362,0.68935,0.43231,0.00927,1.23543,1.03198,8.625e-05,8.625e-05,8.625e-05
32,12036.1,0.00846,1.1993,1.05143,0.68126,0.6099,0.64214,0.4027,0.00919,1.33774,1.02801,7.9125e-05,7.9125e-05,7.9125e-05
33,12480.6,0.00838,1.17536,1.04977,0.66073,0.62006,0.63912,0.40247,0.0092,1.38518,1.02902,7.2e-05,7.2e-05,7.2e-05
34,12885.5,0.00846,1.19004,1.04174,0.70304,0.62741,0.67419,0.42281,0.00913,1.23105,1.02605,6.4875e-05,6.4875e-05,6.4875e-05
35,13616.3,0.00818,1.1401,1.02298,0.68163,0.63905,0.66268,0.41455,0.00917,1.25616,1.02914,5.775e-05,5.775e-05,5.775e-05
36,15415.1,0.00832,1.15722,1.04499,0.67428,0.62114,0.65466,0.41212,0.00918,1.2933,1.02934,5.0625e-05,5.0625e-05,5.0625e-05
37,16133.2,0.00824,1.13799,1.0222,0.65277,0.63008,0.65018,0.4107,0.00915,1.30936,1.02803,4.35e-05,4.35e-05,4.35e-05
38,16939.4,0.00828,1.14116,1.04283,0.64053,0.62683,0.63343,0.40013,0.00914,1.38435,1.02761,3.6375e-05,3.6375e-05,3.6375e-05
39,17256.6,0.00836,1.14313,1.05031,0.68314,0.62863,0.66434,0.41658,0.00915,1.24059,1.02856,2.925e-05,2.925e-05,2.925e-05
40,17632.4,0.00832,1.15742,1.03968,0.6629,0.62978,0.65476,0.4128,0.00913,1.27765,1.02835,2.2125e-05,2.2125e-05,2.2125e-05
