epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2542.97,1.30281,1.84831,0.52433,0.71163,0.60619,0.67662,0.39947,1.39726,1.38414,0.55214,0.0512965,0.00124881,0.00124881
2,2857.39,1.22932,1.67165,0.50624,0.72316,0.63123,0.71085,0.43373,1.3395,1.27856,0.53832,0.00249342,0.00244571,0.00244571
3,3185.88,1.20367,1.60746,0.49956,0.68668,0.62544,0.68702,0.419,1.33896,1.29223,0.53348,0.00239375,0.00239375,0.00239375
4,3506.93,1.19419,1.62013,0.49863,0.69833,0.61598,0.69723,0.43725,1.31635,1.24208,0.52595,0.00234063,0.00234063,0.00234063
5,3830.34,1.19608,1.59475,0.49612,0.74826,0.65971,0.69696,0.42115,1.35519,1.29792,0.53287,0.0022875,0.0022875,0.0022875
6,4144.91,1.20037,1.58874,0.49709,0.74769,0.6574,0.70788,0.44148,1.29671,1.25719,0.51777,0.00223438,0.00223438,0.00223438
7,4444.59,1.19098,1.57438,0.49514,0.69753,0.67541,0.68811,0.43042,1.30086,1.32901,0.52412,0.00218125,0.00218125,0.00218125
8,4769.87,1.18515,1.55898,0.49316,0.69852,0.66747,0.70813,0.42503,1.36744,1.19499,0.53776,0.00212812,0.00212812,0.00212812
9,5096.8,1.17315,1.535,0.49172,0.64753,0.69022,0.71103,0.42784,1.36797,1.21088,0.53747,0.002075,0.002075,0.002075
10,5417.06,1.19016,1.56035,0.49722,0.74438,0.63746,0.71053,0.44643,1.33275,1.19591,0.52697,0.00202187,0.00202187,0.00202187
11,5737.95,1.17111,1.53486,0.49008,0.70518,0.67581,0.71295,0.45033,1.30185,1.18973,0.51748,0.00196875,0.00196875,0.00196875
12,6054.3,1.18074,1.54074,0.49347,0.73176,0.6727,0.72751,0.45955,1.29494,1.16471,0.51834,0.00191563,0.00191563,0.00191563
13,6382.54,1.16915,1.50635,0.48992,0.68827,0.68499,0.73051,0.46377,1.3012,1.18282,0.52153,0.0018625,0.0018625,0.0018625
14,6691.77,1.18799,1.52038,0.49337,0.71888,0.68283,0.73779,0.4607,1.30727,1.17781,0.52115,0.00180938,0.00180938,0.00180938
15,6993.34,1.16987,1.50656,0.48886,0.74109,0.71171,0.73309,0.45716,1.32137,1.17252,0.52457,0.00175625,0.00175625,0.00175625
16,7300.47,1.17113,1.50914,0.48903,0.68799,0.68531,0.71486,0.45048,1.31208,1.22794,0.5218,0.00170312,0.00170312,0.00170312
17,7706.98,1.15489,1.48954,0.48662,0.81584,0.65936,0.75587,0.48088,1.30009,1.15162,0.51864,0.00165,0.00165,0.00165
18,8406.22,1.16801,1.49078,0.49032,0.78828,0.65755,0.74425,0.47072,1.33305,1.15719,0.52904,0.00159687,0.00159687,0.00159687
19,9524.39,1.16548,1.48371,0.48659,0.76262,0.66579,0.75237,0.47151,1.30207,1.14934,0.51617,0.00154375,0.00154375,0.00154375
20,9972.76,1.15726,1.46582,0.48491,0.77107,0.70605,0.74054,0.4674,1.28529,1.13009,0.51605,0.00149062,0.00149062,0.00149062
21,10293.1,1.00684,0.90658,0.47731,0.74861,0.66736,0.74326,0.46817,1.27634,1.17026,0.51302,0.0014375,0.0014375,0.0014375
22,10600.5,1.00179,0.84324,0.47391,0.77258,0.67215,0.74385,0.46453,1.32211,1.15942,0.52487,0.00138437,0.00138437,0.00138437
23,10915.3,0.99117,0.82048,0.47341,0.78317,0.62874,0.71261,0.4534,1.27427,1.15493,0.51362,0.00133125,0.00133125,0.00133125
24,11229.7,0.97741,0.79513,0.46668,0.72885,0.66576,0.72905,0.45145,1.30056,1.1442,0.52335,0.00127812,0.00127812,0.00127812
25,11545.4,0.97256,0.7915,0.46752,0.71222,0.65284,0.72059,0.45045,1.29487,1.1738,0.51824,0.001225,0.001225,0.001225
26,11859.4,0.96909,0.7788,0.46758,0.78304,0.64641,0.73828,0.46999,1.2549,1.13551,0.51099,0.00117187,0.00117187,0.00117187
27,12208.9,0.96134,0.76492,0.46536,0.69809,0.65739,0.7239,0.46516,1.28012,1.16338,0.51494,0.00111875,0.00111875,0.00111875
28,12959.6,0.96159,0.75471,0.46588,0.7063,0.65922,0.72623,0.47161,1.25418,1.15118,0.51167,0.00106562,0.00106562,0.00106562
29,14122.1,0.95277,0.74526,0.46129,0.76373,0.64041,0.72617,0.46456,1.28244,1.13638,0.51495,0.0010125,0.0010125,0.0010125
30,15456.6,0.94911,0.74612,0.46124,0.73931,0.66225,0.73963,0.48197,1.23877,1.12189,0.508,0.000959375,0.000959375,0.000959375
31,16668.9,0.93921,0.73498,0.45865,0.75093,0.65117,0.72266,0.46999,1.26014,1.143,0.51117,0.00090625,0.00090625,0.00090625
32,17036.6,0.93715,0.73613,0.45798,0.68595,0.68981,0.73381,0.46971,1.27025,1.12443,0.51671,0.000853125,0.000853125,0.000853125
